"y" "x1" "x2" "x3" "x4"
863 0.41 61.9 4.74 "VS2"
693 0.33 61.3 4.47 "VS2"
683 0.41 61.2 4.76 "SI1"
600 0.36 62 4.54 "SI1"
461 0.3 62.3 4.27 "SI1"
891 0.43 61.8 4.8 "VS2"
844 0.3 61.9 4.3 "VS1"
788 0.35 61.1 4.56 "SI1"
447 0.34 59.2 4.57 "SI1"
702 0.4 62 4.7 "SI1"
737 0.4 62.7 4.69 "SI1"
384 0.3 62.1 4.29 "VS2"
738 0.36 60.7 4.63 "VS2"
964 0.35 60.6 4.63 "VS2"
589 0.34 60 4.55 "SI1"
854 0.33 61.9 4.44 "VS2"
480 0.33 61.4 4.45 "VS2"
681 0.3 59.7 4.39 "VS1"
473 0.3 63.5 4.2 "VS2"
767 0.35 60.9 4.54 "VS2"
442 0.31 61.5 4.34 "VS2"
971 0.37 60.6 4.65 "VS2"
732 0.31 63.5 4.3 "SI1"
648 0.32 62.3 4.39 "VS2"
961 0.41 62.3 4.8 "VS1"
457 0.31 58.9 4.43 "VS2"
776 0.3 61.8 4.37 "VS1"
742 0.4 64 4.67 "VS1"
470 0.27 62.9 4.12 "VS1"
990 0.41 61.3 4.8 "VS1"
595 0.31 61.9 4.38 "SI1"
780 0.33 61.3 4.46 "SI1"
554 0.3 60.9 4.31 "SI1"
628 0.31 63.1 4.32 "VS2"
854 0.33 61.9 4.42 "VS2"
705 0.4 62.5 4.66 "VS2"
943 0.43 62.2 4.81 "VS1"
668 0.33 61.2 4.47 "VS2"
828 0.32 62.8 4.41 "VS1"
811 0.41 61.7 4.78 "VS2"
755 0.38 61.8 4.67 "SI1"
434 0.33 63 4.37 "SI1"
631 0.33 62.3 4.44 "SI1"
758 0.32 62.5 4.38 "VS2"
928 0.33 61.5 4.46 "VS2"
889 0.41 62.9 4.7 "VS1"
776 0.3 63.8 4.28 "VS1"
610 0.33 63 4.41 "SI1"
675 0.3 61.3 4.33 "VS2"
435 0.25 61.5 4.02 "VS1"
438 0.25 62 4.06 "VS1"
776 0.3 60 4.33 "VS1"
407 0.3 62.3 4.28 "VS2"
968 0.43 61.1 4.9 "VS2"
506 0.3 59.7 4.4 "VS1"
745 0.34 62.1 4.49 "VS1"
562 0.31 62.2 4.34 "VS2"
904 0.41 63.4 4.74 "SI1"
471 0.29 61.9 4.25 "VS2"
490 0.28 61.8 4.18 "VS2"
681 0.37 62.7 4.55 "SI1"
526 0.3 63.3 4.26 "VS1"
842 0.4 61 4.71 "VS2"
648 0.32 60.5 4.43 "VS2"
700 0.42 62.7 4.76 "SI1"
588 0.28 63.1 4.18 "VS1"
456 0.26 62.3 4.1 "VS2"
467 0.28 61.9 4.2 "VS2"
961 0.34 62.6 4.52 "VS1"
776 0.3 59.9 4.41 "VS1"
496 0.3 61.9 4.28 "VS2"
698 0.31 63.3 4.35 "SI1"
947 0.41 63.2 4.77 "SI1"
559 0.31 62.6 4.33 "VS2"
698 0.31 63.6 4.29 "VS2"
487 0.28 61.2 4.2 "VS2"
721 0.38 61.1 4.68 "VS1"
972 0.32 62.6 4.39 "VS2"
542 0.31 61.9 4.34 "VS1"
605 0.3 62.9 4.27 "VS1"
737 0.4 62.3 4.67 "SI1"
487 0.28 60.2 4.23 "VS1"
526 0.3 60.4 4.3 "VS1"
695 0.31 59.8 4.43 "VS2"
984 0.42 61.3 4.81 "VS1"
784 0.41 63.8 4.7 "SI1"
928 0.33 61 4.46 "VS2"
526 0.3 61.6 4.28 "VS2"
628 0.31 62.3 4.35 "VS1"
361 0.25 55.2 4.21 "VS1"
969 0.41 60.2 4.82 "SI1"
811 0.37 62 4.6 "VS2"
579 0.33 61.5 4.44 "VS1"
914 0.39 62.5 4.67 "VS1"
923 0.41 62.5 4.72 "SI1"
561 0.32 60.5 4.41 "VS2"
544 0.31 61.8 4.34 "VS2"
739 0.43 63.8 4.8 "SI1"
756 0.45 68.6 4.73 "SI1"
631 0.4 62.6 4.71 "VS1"
